name,category,cat_code,l,w,h,weight,score
Concrete Block,Heavy Load,2,15,25,30,35,7.25
Paper Ream,Common,0,26,52,56,4,0.7807999999999999
Clothes,Common,0,49,18,50,14,1.1928
Generator,Heavy Load,2,27,57,51,34,7.6556
Cushions,Common,0,12,45,59,22,1.536
TV Screen,Fragile,1,45,55,17,11,0.0
Antique Lamp,Fragile,1,53,25,28,7,0.0
Generator,Heavy Load,2,10,12,14,77,9.668
Mirror,Fragile,1,52,58,13,8,0.0
Steel Beam,Heavy Load,2,41,12,32,36,7.3568
Ceramic Plates,Fragile,1,57,17,32,2,0.0
Generator,Heavy Load,2,46,11,52,30,7.0024
Steel Beam,Heavy Load,2,59,16,31,31,7.2376000000000005
Monitor,Fragile,1,22,39,54,8,0.0
Generator,Heavy Load,2,37,11,37,51,8.2228
Plastic Toys,Common,0,10,55,38,10,0.82
Ceramic Plates,Fragile,1,23,53,18,1,0.0
Mirror,Fragile,1,29,40,45,13,0.0
Car Engine,Heavy Load,2,33,56,49,73,10.0
Tools,Common,0,50,15,23,12,1.02
Books,Common,0,43,51,42,29,2.6171999999999995
Steel Beam,Heavy Load,2,20,21,18,74,9.608
Laboratory Beaker,Fragile,1,36,11,19,6,0.0
Mirror,Fragile,1,49,19,29,8,0.0
Ceramic Plates,Fragile,1,45,59,32,10,0.0
TV Screen,Fragile,1,53,28,15,5,0.0
Wine Bottles,Fragile,1,50,39,54,4,0.0
Ceramic Plates,Fragile,1,59,43,44,8,0.0
Monitor,Fragile,1,30,58,48,2,0.0
Mirror,Fragile,1,48,45,36,11,0.0
Mirror,Fragile,1,23,39,48,7,0.0
Ceramic Plates,Fragile,1,39,29,13,11,0.0
Industrial Motor,Heavy Load,2,37,47,32,64,9.535599999999999
Cushions,Common,0,24,37,58,10,0.9551999999999999
Anvil,Heavy Load,2,13,24,24,59,8.6648
Clothes,Common,0,10,38,35,9,0.692
Mirror,Fragile,1,22,25,13,7,0.0
Canned Food,Common,0,17,22,47,10,0.7496
Generator,Heavy Load,2,46,46,15,60,9.4464
Plastic Toys,Common,0,34,32,54,10,1.0352000000000001
Canned Food,Common,0,58,35,58,5,1.112
Tools,Common,0,38,11,10,27,1.7872
Wine Bottles,Fragile,1,54,37,26,4,0.0
Paper Ream,Common,0,34,50,38,12,1.4
Wine Bottles,Fragile,1,20,53,40,12,0.0
Shoes,Common,0,37,27,40,17,1.4196
Ceramic Plates,Fragile,1,56,53,24,4,0.0
Ceramic Plates,Fragile,1,55,57,23,8,0.0
Anvil,Heavy Load,2,41,21,13,77,9.964400000000001
Wine Bottles,Fragile,1,30,13,28,1,0.0
Ceramic Plates,Fragile,1,40,29,41,13,0.0
Ceramic Plates,Fragile,1,39,40,26,14,0.0
Canned Food,Common,0,18,12,14,13,0.8664
Paper Ream,Common,0,56,51,45,24,2.5824
Plastic Toys,Common,0,48,28,48,18,1.6176
Plastic Toys,Common,0,26,57,15,20,1.7928000000000002
Safe Box,Heavy Load,2,56,17,58,71,9.6408
Laboratory Beaker,Fragile,1,52,37,32,6,0.0
Car Engine,Heavy Load,2,55,30,31,48,8.540000000000001
Canned Food,Common,0,51,54,23,21,2.3616
Safe Box,Heavy Load,2,41,23,32,32,7.297200000000001
Canned Food,Common,0,32,43,21,13,1.3304
Generator,Heavy Load,2,40,39,20,52,8.744
Books,Common,0,24,53,54,28,2.1888
Industrial Motor,Heavy Load,2,20,30,44,57,8.66
Books,Common,0,54,17,23,24,1.8072
Cushions,Common,0,45,12,28,5,0.516
Canned Food,Common,0,12,34,10,13,0.9432
Steel Beam,Heavy Load,2,45,31,32,71,9.818000000000001
Shoes,Common,0,26,44,30,12,1.1776
Wine Bottles,Fragile,1,38,22,20,11,0.0
Antique Lamp,Fragile,1,30,52,54,7,0.0
Books,Common,0,12,24,34,6,0.47519999999999996
Anvil,Heavy Load,2,31,55,24,54,8.922
Wine Bottles,Fragile,1,51,44,19,7,0.0
Books,Common,0,22,29,18,21,1.5151999999999999
Canned Food,Common,0,18,49,39,9,0.8928
Gym Weights,Heavy Load,2,47,59,53,35,8.2092
Books,Common,0,45,18,14,7,0.744
Ceramic Plates,Fragile,1,29,23,28,9,0.0
Glass Vase,Fragile,1,36,13,41,10,0.0
Gym Weights,Heavy Load,2,21,55,40,46,8.222
Clothes,Common,0,35,31,54,26,1.9939999999999998
Paper Ream,Common,0,39,51,49,19,1.9356000000000002
Shoes,Common,0,35,20,18,12,1.0
Steel Beam,Heavy Load,2,57,11,31,33,7.2307999999999995
Ceramic Plates,Fragile,1,41,24,22,13,0.0
Wine Bottles,Fragile,1,20,59,36,12,0.0
Anvil,Heavy Load,2,34,19,13,71,9.5184
Concrete Block,Heavy Load,2,59,47,23,76,10.0
Canned Food,Common,0,14,29,24,23,1.5424
Ceramic Plates,Fragile,1,12,58,28,8,0.0
Clothes,Common,0,48,49,54,12,1.6607999999999996
Mirror,Fragile,1,18,23,21,13,0.0
Mirror,Fragile,1,53,49,48,6,0.0
Car Engine,Heavy Load,2,25,32,45,30,7.12
Gym Weights,Heavy Load,2,29,19,47,57,8.6404
Wine Bottles,Fragile,1,11,19,31,7,0.0
Safe Box,Heavy Load,2,59,31,53,66,9.6916
Tools,Common,0,45,23,53,19,1.5539999999999998
Generator,Heavy Load,2,46,19,13,55,8.649600000000001
Plastic Toys,Common,0,33,57,15,29,2.4924
Steel Beam,Heavy Load,2,26,48,17,76,10.0
Books,Common,0,42,50,26,16,1.8
Cushions,Common,0,11,55,22,13,1.0219999999999998
Canned Food,Common,0,41,29,23,16,1.4356
Industrial Motor,Heavy Load,2,17,55,13,72,9.693999999999999
Plastic Toys,Common,0,45,12,52,20,1.416
Canned Food,Common,0,11,47,30,26,1.7668
Gym Weights,Heavy Load,2,16,36,16,72,9.5504
Tools,Common,0,52,41,44,17,1.8728000000000002
Books,Common,0,28,51,58,4,0.8112
Wine Bottles,Fragile,1,28,39,15,3,0.0
Gym Weights,Heavy Load,2,57,57,22,54,9.5396
Concrete Block,Heavy Load,2,14,51,56,36,7.445599999999999
Steel Beam,Heavy Load,2,15,33,10,74,9.638
Steel Beam,Heavy Load,2,10,23,55,40,7.492
Mirror,Fragile,1,16,44,43,12,0.0
Wine Bottles,Fragile,1,58,13,59,14,0.0
TV Screen,Fragile,1,24,55,44,8,0.0
Steel Beam,Heavy Load,2,50,55,34,40,8.5
Industrial Motor,Heavy Load,2,41,27,26,34,7.4828
Shoes,Common,0,58,36,13,3,1.0152
Gym Weights,Heavy Load,2,23,10,43,61,8.752
Wine Bottles,Fragile,1,58,42,52,10,0.0
Paper Ream,Common,0,31,28,20,16,1.3072
Plastic Toys,Common,0,37,13,40,24,1.6323999999999999
Mirror,Fragile,1,31,48,19,14,0.0
Antique Lamp,Fragile,1,33,35,22,5,0.0
Wine Bottles,Fragile,1,53,47,58,12,0.0
Clothes,Common,0,36,22,26,19,1.4568
Wine Bottles,Fragile,1,33,41,45,14,0.0
Shoes,Common,0,33,12,16,28,1.8384
Monitor,Fragile,1,56,22,35,13,0.0
Industrial Motor,Heavy Load,2,25,35,44,51,8.41
Laboratory Beaker,Fragile,1,39,49,24,6,0.0
Monitor,Fragile,1,48,21,55,5,0.0
Mirror,Fragile,1,52,59,24,12,0.0
Safe Box,Heavy Load,2,46,14,24,42,7.7776
Concrete Block,Heavy Load,2,20,12,59,41,7.556
Ceramic Plates,Fragile,1,41,13,33,13,0.0
Safe Box,Heavy Load,2,19,17,28,59,8.6692
Monitor,Fragile,1,16,57,40,9,0.0
Cushions,Common,0,29,10,14,4,0.356
Shoes,Common,0,54,16,14,6,0.7056
Concrete Block,Heavy Load,2,27,13,34,48,8.020399999999999
Clothes,Common,0,55,34,54,20,1.948
Clothes,Common,0,45,17,57,9,0.8460000000000001
Gym Weights,Heavy Load,2,52,50,51,49,8.98
Safe Box,Heavy Load,2,50,24,57,61,9.14
Books,Common,0,49,57,50,9,1.6572
Safe Box,Heavy Load,2,52,17,11,64,9.1936
Cushions,Common,0,25,42,40,15,1.3199999999999998
Cushions,Common,0,27,44,55,17,1.4952
Wine Bottles,Fragile,1,34,51,17,1,0.0
Mirror,Fragile,1,56,16,22,1,0.0
Anvil,Heavy Load,2,48,35,15,30,7.4719999999999995
Tools,Common,0,44,48,19,14,1.6847999999999999
Steel Beam,Heavy Load,2,15,20,18,39,7.459999999999999
Wine Bottles,Fragile,1,25,40,34,3,0.0
Shoes,Common,0,56,18,42,7,0.8231999999999999
Gym Weights,Heavy Load,2,22,59,40,30,7.3192
Safe Box,Heavy Load,2,13,46,26,36,7.399199999999999
Steel Beam,Heavy Load,2,47,33,29,62,9.340399999999999
Antique Lamp,Fragile,1,24,10,32,9,0.0
Cushions,Common,0,51,13,35,21,1.5252
Clothes,Common,0,39,15,48,9,0.7739999999999999
Paper Ream,Common,0,49,33,35,5,0.9468
Glass Vase,Fragile,1,44,32,47,10,0.0
Cushions,Common,0,31,47,32,19,1.7228
TV Screen,Fragile,1,54,35,58,6,0.0
Safe Box,Heavy Load,2,24,13,14,56,8.4848
Concrete Block,Heavy Load,2,20,35,19,31,7.140000000000001
Paper Ream,Common,0,26,24,45,26,1.8096
Paper Ream,Common,0,11,50,50,26,1.78
Ceramic Plates,Fragile,1,25,30,24,12,0.0
Antique Lamp,Fragile,1,33,39,32,9,0.0
Steel Beam,Heavy Load,2,26,20,53,78,9.888
Clothes,Common,0,55,20,11,26,2.0
Paper Ream,Common,0,37,12,41,14,1.0176
Anvil,Heavy Load,2,59,32,29,51,8.8152
Car Engine,Heavy Load,2,32,24,30,77,9.9272
Industrial Motor,Heavy Load,2,10,32,27,54,8.368
Tools,Common,0,28,49,52,29,2.2887999999999997
Wine Bottles,Fragile,1,37,48,54,11,0.0
TV Screen,Fragile,1,50,23,10,10,0.0
Plastic Toys,Common,0,36,15,35,4,0.45600000000000007
Books,Common,0,41,17,11,13,1.0588000000000002
Laboratory Beaker,Fragile,1,28,18,37,11,0.0
Clothes,Common,0,21,31,12,15,1.1603999999999999
Books,Common,0,29,58,47,12,1.3928
Cushions,Common,0,10,41,50,17,1.184
Canned Food,Common,0,11,20,54,12,0.808
Clothes,Common,0,49,34,40,22,1.9864000000000002
Safe Box,Heavy Load,2,30,24,46,78,9.968
Tools,Common,0,37,56,56,21,2.0888
Tools,Common,0,47,44,54,27,2.4472
Car Engine,Heavy Load,2,39,15,34,50,8.234
Paper Ream,Common,0,37,15,56,18,1.302
Canned Food,Common,0,20,59,49,3,0.652
Antique Lamp,Fragile,1,24,18,57,6,0.0
Laboratory Beaker,Fragile,1,37,41,23,12,0.0
Laboratory Beaker,Fragile,1,37,26,56,6,0.0
Laboratory Beaker,Fragile,1,50,36,26,12,0.0
Mirror,Fragile,1,43,38,35,10,0.0
Monitor,Fragile,1,51,33,10,10,0.0
Steel Beam,Heavy Load,2,12,15,38,54,8.312000000000001
Safe Box,Heavy Load,2,59,37,17,39,8.2132
Anvil,Heavy Load,2,14,55,51,30,7.108
Car Engine,Heavy Load,2,56,34,52,75,10.0
Gym Weights,Heavy Load,2,50,56,42,47,8.940000000000001
Antique Lamp,Fragile,1,11,15,58,5,0.0
Industrial Motor,Heavy Load,2,46,50,29,48,8.8
Generator,Heavy Load,2,16,34,13,39,7.557599999999999
Books,Common,0,38,29,26,2,0.5608000000000001
Generator,Heavy Load,2,24,48,37,43,8.0408
Paper Ream,Common,0,21,25,29,28,1.8900000000000001
Tools,Common,0,40,49,27,6,1.1440000000000001
Plastic Toys,Common,0,14,19,43,9,0.6464
Steel Beam,Heavy Load,2,26,41,18,63,9.206399999999999
Industrial Motor,Heavy Load,2,51,27,28,74,9.9908
Shoes,Common,0,53,15,17,3,0.49800000000000005
Plastic Toys,Common,0,26,22,25,25,1.7288000000000001
Steel Beam,Heavy Load,2,39,35,20,56,8.906
Mirror,Fragile,1,41,20,48,11,0.0
Shoes,Common,0,27,12,11,17,1.1496
Car Engine,Heavy Load,2,42,51,19,41,8.3168
Canned Food,Common,0,46,13,33,14,1.0792000000000002
Laboratory Beaker,Fragile,1,33,10,15,5,0.0
Mirror,Fragile,1,28,19,32,10,0.0
Laboratory Beaker,Fragile,1,25,43,14,8,0.0
Clothes,Common,0,38,48,30,7,1.1496
TV Screen,Fragile,1,49,55,22,7,0.0
Glass Vase,Fragile,1,50,48,14,6,0.0
Tools,Common,0,40,58,31,20,2.128
TV Screen,Fragile,1,42,48,44,2,0.0
Shoes,Common,0,28,53,48,18,1.6735999999999998
Clothes,Common,0,33,33,11,2,0.5556000000000001
Shoes,Common,0,57,59,10,3,1.5252000000000003
Ceramic Plates,Fragile,1,26,24,43,5,0.0
Steel Beam,Heavy Load,2,21,39,48,75,9.8276
TV Screen,Fragile,1,27,23,13,4,0.0
TV Screen,Fragile,1,38,54,46,3,0.0
Antique Lamp,Fragile,1,23,57,21,14,0.0
Wine Bottles,Fragile,1,57,44,58,14,0.0
Canned Food,Common,0,51,20,38,25,1.908
Canned Food,Common,0,22,20,12,16,1.136
TV Screen,Fragile,1,50,20,43,3,0.0
Wine Bottles,Fragile,1,25,56,10,4,0.0
Concrete Block,Heavy Load,2,40,34,12,39,7.884
Glass Vase,Fragile,1,58,30,25,3,0.0
Paper Ream,Common,0,34,57,43,6,1.1352
Generator,Heavy Load,2,27,19,22,75,9.7052
Clothes,Common,0,13,53,51,19,1.4156
Cushions,Common,0,47,29,40,21,1.8052
Steel Beam,Heavy Load,2,41,48,29,64,9.627199999999998
Plastic Toys,Common,0,19,25,51,17,1.21
Wine Bottles,Fragile,1,22,48,42,6,0.0
Anvil,Heavy Load,2,34,26,31,41,7.813599999999999
Mirror,Fragile,1,18,42,49,2,0.0
Generator,Heavy Load,2,40,25,50,52,8.52
Clothes,Common,0,39,34,31,19,1.6704
Canned Food,Common,0,21,43,44,8,0.8412
Car Engine,Heavy Load,2,27,40,58,51,8.492
Wine Bottles,Fragile,1,10,29,58,7,0.0
Safe Box,Heavy Load,2,38,34,29,44,8.1568
TV Screen,Fragile,1,20,43,43,5,0.0
Wine Bottles,Fragile,1,44,31,15,13,0.0
Clothes,Common,0,31,49,22,26,2.1676
Safe Box,Heavy Load,2,28,43,48,77,10.0
Books,Common,0,20,38,50,7,0.724
Antique Lamp,Fragile,1,24,59,49,14,0.0
Antique Lamp,Fragile,1,28,16,34,8,0.0
Wine Bottles,Fragile,1,47,11,35,12,0.0
Gym Weights,Heavy Load,2,52,12,27,30,7.049600000000001
Antique Lamp,Fragile,1,17,32,11,8,0.0
Plastic Toys,Common,0,33,33,18,28,2.1156
Mirror,Fragile,1,16,34,36,4,0.0
Canned Food,Common,0,59,44,54,4,1.2784
Concrete Block,Heavy Load,2,30,15,38,75,9.68
Concrete Block,Heavy Load,2,56,24,18,36,7.6975999999999996
Tools,Common,0,14,43,10,23,1.6207999999999998
TV Screen,Fragile,1,32,53,18,6,0.0
Monitor,Fragile,1,52,20,42,6,0.0
Books,Common,0,40,36,43,10,1.1760000000000002
Cushions,Common,0,54,10,12,5,0.516
Cushions,Common,0,43,26,54,3,0.6272
Wine Bottles,Fragile,1,11,38,14,8,0.0
Paper Ream,Common,0,14,54,47,15,1.2024000000000001
Industrial Motor,Heavy Load,2,31,51,55,65,9.532399999999999
Monitor,Fragile,1,40,22,44,9,0.0
Canned Food,Common,0,37,18,59,10,0.8664
Laboratory Beaker,Fragile,1,54,32,59,9,0.0
Concrete Block,Heavy Load,2,48,32,36,65,9.5144
Concrete Block,Heavy Load,2,52,16,31,49,8.2728
Mirror,Fragile,1,38,43,15,4,0.0
Paper Ream,Common,0,38,29,58,11,1.1008
Books,Common,0,51,17,16,4,0.5868
Concrete Block,Heavy Load,2,19,49,40,79,10.0
Wine Bottles,Fragile,1,14,17,38,14,0.0
Cushions,Common,0,24,57,54,19,1.6872
Monitor,Fragile,1,56,25,33,6,0.0
Monitor,Fragile,1,32,20,56,11,0.0
Wine Bottles,Fragile,1,22,50,46,7,0.0
Clothes,Common,0,19,42,30,26,1.8792000000000002
Safe Box,Heavy Load,2,41,17,43,46,8.0388
Plastic Toys,Common,0,52,59,52,9,1.7672
Anvil,Heavy Load,2,56,45,16,42,8.528
Cushions,Common,0,21,11,38,24,1.5323999999999998
Monitor,Fragile,1,27,11,41,6,0.0
Ceramic Plates,Fragile,1,35,44,25,6,0.0
Clothes,Common,0,25,23,30,9,0.7699999999999999
Cushions,Common,0,59,52,13,11,1.8872
Wine Bottles,Fragile,1,24,18,33,10,0.0
Cushions,Common,0,46,11,39,27,1.8224
Tools,Common,0,25,14,58,21,1.4
Glass Vase,Fragile,1,41,45,16,13,0.0
Ceramic Plates,Fragile,1,28,19,17,13,0.0
Car Engine,Heavy Load,2,37,57,39,34,7.8835999999999995
Laboratory Beaker,Fragile,1,53,52,36,6,0.0
Concrete Block,Heavy Load,2,12,49,24,40,7.6352
Steel Beam,Heavy Load,2,29,54,51,77,10.0
Concrete Block,Heavy Load,2,58,55,41,33,8.256
Gym Weights,Heavy Load,2,35,44,20,62,9.336
Steel Beam,Heavy Load,2,31,55,43,61,9.342
Laboratory Beaker,Fragile,1,21,44,22,5,0.0
Generator,Heavy Load,2,18,38,13,68,9.3536
Cushions,Common,0,30,19,56,24,1.668
Safe Box,Heavy Load,2,14,23,25,60,8.7288
Antique Lamp,Fragile,1,34,13,18,9,0.0
Monitor,Fragile,1,35,31,10,11,0.0
Plastic Toys,Common,0,21,45,25,8,0.858
Paper Ream,Common,0,50,58,24,28,2.8400000000000003
Books,Common,0,30,11,29,17,1.152
Industrial Motor,Heavy Load,2,24,21,29,69,9.3416
Car Engine,Heavy Load,2,10,11,43,42,7.564
Generator,Heavy Load,2,43,22,58,42,7.8984000000000005
Laboratory Beaker,Fragile,1,49,38,19,6,0.0
Anvil,Heavy Load,2,56,39,54,54,9.1136
Anvil,Heavy Load,2,49,27,18,32,7.4492
Clothes,Common,0,33,44,12,19,1.7207999999999999
Generator,Heavy Load,2,35,58,26,59,9.352
Shoes,Common,0,20,15,35,20,1.3199999999999998
Laboratory Beaker,Fragile,1,14,13,30,2,0.0
TV Screen,Fragile,1,10,51,12,11,0.0
Laboratory Beaker,Fragile,1,39,20,44,12,0.0
Mirror,Fragile,1,14,40,35,8,0.0
Anvil,Heavy Load,2,53,12,30,55,8.5544
Tools,Common,0,24,17,54,27,1.7832000000000001
Car Engine,Heavy Load,2,49,16,30,64,9.1536
Clothes,Common,0,12,40,36,19,1.332
Cushions,Common,0,31,49,27,8,1.0876000000000001
Clothes,Common,0,25,58,34,15,1.48
Mirror,Fragile,1,34,22,36,11,0.0
Laboratory Beaker,Fragile,1,52,34,46,12,0.0
Cushions,Common,0,30,45,22,15,1.44
Industrial Motor,Heavy Load,2,10,46,15,70,9.384
Anvil,Heavy Load,2,44,51,55,61,9.557599999999999
Antique Lamp,Fragile,1,35,40,50,4,0.0
Plastic Toys,Common,0,32,34,39,17,1.4552
Anvil,Heavy Load,2,24,24,55,57,8.6504
Glass Vase,Fragile,1,47,43,12,4,0.0
Antique Lamp,Fragile,1,31,11,51,2,0.0
Monitor,Fragile,1,23,21,18,7,0.0
Cushions,Common,0,51,52,20,25,2.5608
Antique Lamp,Fragile,1,42,32,27,12,0.0
Canned Food,Common,0,47,58,15,22,2.4104
Canned Food,Common,0,43,52,17,22,2.2144
Laboratory Beaker,Fragile,1,37,32,25,14,0.0
Paper Ream,Common,0,10,12,36,24,1.488
Plastic Toys,Common,0,44,31,15,19,1.6856000000000002
Ceramic Plates,Fragile,1,54,21,33,13,0.0
Safe Box,Heavy Load,2,39,20,36,78,9.991999999999999
Monitor,Fragile,1,36,14,10,11,0.0
Glass Vase,Fragile,1,15,44,29,7,0.0
Monitor,Fragile,1,26,14,25,6,0.0
Anvil,Heavy Load,2,39,59,21,74,10.0
Plastic Toys,Common,0,22,48,19,26,1.9823999999999997
Ceramic Plates,Fragile,1,13,49,25,12,0.0
Canned Food,Common,0,58,39,46,21,2.1648
Books,Common,0,25,36,30,5,0.6599999999999999
Canned Food,Common,0,25,58,35,28,2.2600000000000002
Gym Weights,Heavy Load,2,33,33,58,46,8.1956
Plastic Toys,Common,0,56,19,18,11,1.0856
Canned Food,Common,0,12,28,36,28,1.8144000000000002
Cushions,Common,0,14,57,29,16,1.2792
Gym Weights,Heavy Load,2,52,44,40,78,10.0
Glass Vase,Fragile,1,24,49,56,6,0.0
Monitor,Fragile,1,33,57,15,10,0.0
Clothes,Common,0,30,23,19,8,0.756
Safe Box,Heavy Load,2,19,56,42,59,8.9656
Shoes,Common,0,33,46,42,10,1.2071999999999998
Tools,Common,0,51,45,26,5,1.218
Gym Weights,Heavy Load,2,10,41,48,71,9.424000000000001
Clothes,Common,0,42,52,17,17,1.8936
Laboratory Beaker,Fragile,1,40,23,50,10,0.0
Glass Vase,Fragile,1,12,57,59,9,0.0
TV Screen,Fragile,1,22,49,49,9,0.0
Safe Box,Heavy Load,2,15,11,39,69,9.206
Ceramic Plates,Fragile,1,39,16,19,3,0.0
Glass Vase,Fragile,1,47,25,35,11,0.0
Plastic Toys,Common,0,34,12,23,10,0.7632
Car Engine,Heavy Load,2,16,26,39,63,8.9464
Safe Box,Heavy Load,2,10,10,58,69,9.18
Concrete Block,Heavy Load,2,22,18,52,35,7.2584
Concrete Block,Heavy Load,2,33,15,50,68,9.278
Laboratory Beaker,Fragile,1,59,46,59,13,0.0
Laboratory Beaker,Fragile,1,44,15,15,10,0.0
Antique Lamp,Fragile,1,16,17,18,4,0.0
Wine Bottles,Fragile,1,57,44,18,14,0.0
Canned Food,Common,0,33,19,23,21,1.5108000000000001
Gym Weights,Heavy Load,2,19,45,18,33,7.322
Mirror,Fragile,1,44,41,35,3,0.0
Concrete Block,Heavy Load,2,32,51,22,54,8.8928
Industrial Motor,Heavy Load,2,36,22,35,33,7.2968
Cushions,Common,0,53,28,43,22,1.9136
Canned Food,Common,0,25,25,21,23,1.6299999999999997
Laboratory Beaker,Fragile,1,12,51,15,4,0.0
Books,Common,0,19,11,27,27,1.7035999999999998
Glass Vase,Fragile,1,33,37,44,12,0.0
Laboratory Beaker,Fragile,1,23,21,13,11,0.0
Ceramic Plates,Fragile,1,33,19,45,13,0.0
Wine Bottles,Fragile,1,50,54,26,13,0.0
TV Screen,Fragile,1,40,18,40,10,0.0
Steel Beam,Heavy Load,2,13,46,45,78,9.9192
Shoes,Common,0,48,31,38,6,0.9551999999999999
Clothes,Common,0,34,21,28,20,1.4856
Industrial Motor,Heavy Load,2,15,37,12,61,8.882
Cushions,Common,0,54,43,45,17,1.9487999999999999
Safe Box,Heavy Load,2,36,22,19,72,9.6368
Anvil,Heavy Load,2,28,15,30,54,8.408
Mirror,Fragile,1,14,40,28,12,0.0
Plastic Toys,Common,0,13,39,55,27,1.8227999999999998
Glass Vase,Fragile,1,50,13,10,10,0.0
Clothes,Common,0,20,46,14,9,0.9079999999999998
Wine Bottles,Fragile,1,25,50,46,9,0.0
Industrial Motor,Heavy Load,2,23,22,32,53,8.3824
Safe Box,Heavy Load,2,25,51,13,59,9.05
Books,Common,0,33,44,13,3,0.7607999999999999
TV Screen,Fragile,1,11,50,20,6,0.0
Car Engine,Heavy Load,2,19,30,15,60,8.828
Canned Food,Common,0,34,55,28,29,2.488
Monitor,Fragile,1,59,27,44,6,0.0
Mirror,Fragile,1,10,58,44,12,0.0
Steel Beam,Heavy Load,2,29,29,53,40,7.736400000000001
Canned Food,Common,0,58,18,11,18,1.4975999999999998
Concrete Block,Heavy Load,2,56,29,11,44,8.2896
Gym Weights,Heavy Load,2,47,58,35,32,8.0104
Concrete Block,Heavy Load,2,18,24,21,78,9.852799999999998
Shoes,Common,0,39,22,48,2,0.46320000000000006
Antique Lamp,Fragile,1,15,52,58,5,0.0
Industrial Motor,Heavy Load,2,21,41,10,34,7.384399999999999
Clothes,Common,0,41,51,49,6,1.1964000000000001
Generator,Heavy Load,2,44,34,36,49,8.5384
Laboratory Beaker,Fragile,1,12,16,25,13,0.0
Wine Bottles,Fragile,1,53,12,37,7,0.0
Car Engine,Heavy Load,2,35,53,51,48,8.622
Shoes,Common,0,59,15,24,19,1.4940000000000002
Glass Vase,Fragile,1,53,41,25,8,0.0
TV Screen,Fragile,1,21,16,21,5,0.0
Generator,Heavy Load,2,23,36,34,62,9.0512
Antique Lamp,Fragile,1,24,45,26,12,0.0
Concrete Block,Heavy Load,2,49,24,30,46,8.2304
Wine Bottles,Fragile,1,40,17,13,3,0.0
Car Engine,Heavy Load,2,11,44,11,55,8.4936
Car Engine,Heavy Load,2,26,32,53,75,9.8328
Tools,Common,0,49,29,15,18,1.6484
Anvil,Heavy Load,2,49,51,57,51,9.0596
Laboratory Beaker,Fragile,1,57,42,54,4,0.0
Laboratory Beaker,Fragile,1,22,22,26,4,0.0
Clothes,Common,0,25,56,46,12,1.28
Ceramic Plates,Fragile,1,12,46,38,7,0.0
Ceramic Plates,Fragile,1,27,32,45,14,0.0
Tools,Common,0,17,32,30,28,1.8976
Mirror,Fragile,1,15,22,47,4,0.0
Wine Bottles,Fragile,1,41,48,34,8,0.0
Cushions,Common,0,40,56,19,21,2.1559999999999997
Books,Common,0,35,15,49,12,0.9299999999999999
Monitor,Fragile,1,53,15,30,3,0.0
Steel Beam,Heavy Load,2,40,42,18,63,9.452
Books,Common,0,22,48,56,24,1.8623999999999998
Paper Ream,Common,0,57,59,44,6,1.7052
Plastic Toys,Common,0,50,43,57,8,1.3399999999999999
Cushions,Common,0,33,46,59,6,0.9672000000000001
Cushions,Common,0,44,13,53,20,1.4288
Steel Beam,Heavy Load,2,59,30,41,64,9.547999999999998
Antique Lamp,Fragile,1,50,43,38,6,0.0
Books,Common,0,46,38,16,9,1.2391999999999999
Shoes,Common,0,48,37,40,18,1.7904
Canned Food,Common,0,45,43,26,2,0.8940000000000001
Anvil,Heavy Load,2,49,21,10,61,9.0716
Gym Weights,Heavy Load,2,46,36,31,38,7.942400000000001
Safe Box,Heavy Load,2,31,42,17,60,9.1208
Cushions,Common,0,40,23,15,25,1.8679999999999999
Gym Weights,Heavy Load,2,44,13,13,69,9.368799999999998
Anvil,Heavy Load,2,15,18,14,54,8.347999999999999
Shoes,Common,0,59,17,53,22,1.7212
Car Engine,Heavy Load,2,30,44,49,52,8.648
Ceramic Plates,Fragile,1,22,12,18,6,0.0
Canned Food,Common,0,50,29,59,8,1.06
Steel Beam,Heavy Load,2,57,10,46,33,7.208
Monitor,Fragile,1,56,44,55,7,0.0
Industrial Motor,Heavy Load,2,30,53,50,45,8.336
Industrial Motor,Heavy Load,2,46,14,29,30,7.057599999999999
Concrete Block,Heavy Load,2,20,58,47,66,9.424000000000001
Wine Bottles,Fragile,1,46,32,34,12,0.0
Tools,Common,0,30,25,57,14,1.1400000000000001
Car Engine,Heavy Load,2,50,52,27,74,10.0
Wine Bottles,Fragile,1,19,24,40,3,0.0
Gym Weights,Heavy Load,2,34,47,24,43,8.2192
Wine Bottles,Fragile,1,32,23,56,12,0.0
Ceramic Plates,Fragile,1,12,41,31,11,0.0
Anvil,Heavy Load,2,43,14,30,61,8.9008
Car Engine,Heavy Load,2,42,57,54,63,9.7376
Antique Lamp,Fragile,1,33,29,13,2,0.0
Monitor,Fragile,1,46,47,41,11,0.0
Tools,Common,0,11,19,51,6,0.4436
Glass Vase,Fragile,1,43,35,47,6,0.0
Mirror,Fragile,1,54,14,41,4,0.0
Clothes,Common,0,55,28,37,28,2.2960000000000003
Shoes,Common,0,57,37,44,24,2.2836
Clothes,Common,0,44,11,38,9,0.7335999999999999
Gym Weights,Heavy Load,2,21,38,32,45,8.019200000000001
Paper Ream,Common,0,19,32,10,16,1.2032
Books,Common,0,38,15,32,9,0.768
Car Engine,Heavy Load,2,20,47,54,77,9.995999999999999
Wine Bottles,Fragile,1,50,18,16,14,0.0
